Grand domaine,Domaine,Offres au T2 2023,Part des offres,Evolution sur un an,Part des offres durables,Différence de la part d'offres durables sur un an ,,
"Agriculture et pêche, espaces naturels et espaces verts, soins aux animaux",,55900,"2,0%","15,1%","39,8%","2,8",,"Source : Pôle emploi, offres diffusées par Pôle emploi"
dont,Engins agricoles et forestiers,3500,"0,1%","49,5%","37,9%","-5,3",,
,Espaces naturels et espaces verts,16400,"0,6%","21,6%","54,7%","-1,0",,
,Etudes et assistance technique,5400,"0,2%","23,3%","75,7%","-0,1",,
,Production agricole,29500,"1,1%","7,1%","23,9%","3,9",,
,Soins aux animaux,1200,"0,0%","32,1%","74,4%","-0,8",,
Arts et faconnage d'ouvrages d'art,,4600,"0,2%","14,0%","56,4%","-2,2",,
dont,Arts plastiques,200,"0,0%","18,4%","53,4%","-17,2",,
,Céramique,100,"0,0%","69,0%","32,7%","-29,4",,
,Décoration,600,"0,0%","15,4%","73,4%","1,3",,
,Fibres et papier,0,"0,0%","175,0%","68,2%","43,2",,
,Instruments de musique,100,"0,0%","296,2%","35,0%","-38,1",,
,"Métal, verre, bijouterie et horlogerie",900,"0,0%","18,9%","60,1%","-5,6",,
,Taxidermie,0,"0,0%","200,0%","93,3%","13,3",,
,Tissu et cuirs,2800,"0,1%","7,4%","52,6%","-0,7",,
"Banque, assurance, immobilier",,61600,"2,2%","-7,7%","85,8%","0,7",,
dont,Assurance,13800,"0,5%","3,2%","82,7%","5,0",,
,Banque,15900,"0,6%","-11,6%","80,2%","1,2",,
,Finance,3000,"0,1%","13,5%","59,8%","2,9",,
,Gestion administrative banque et assurances,1000,"0,0%","11,6%","60,8%","9,1",,
,Immobilier,27800,"1,0%","-12,3%","94,3%","-0,8",,
"Commerce, vente et grande distribution",,328100,"11,9%","3,9%","77,6%","2,1",,
dont,Commerce alimentaire et métiers de bouche,54000,"2,0%","5,2%","74,7%","-0,1",,
,Commerce non alimentaire et de prestations de confort,48900,"1,8%","-6,6%","70,0%","0,3",,
,Direction de magasin de détail,14100,"0,5%","19,3%","96,3%","1,7",,
,Force de vente,142100,"5,1%","4,7%","82,7%","2,5",,
,Grande distribution,69000,"2,5%","6,9%","70,8%","3,5",,
"Communication, media et multimedia",,23900,"0,9%","-4,7%","78,1%","-1,5",,
dont,Edition et communication,15300,"0,6%","-2,3%","89,1%","-0,4",,
,Images et sons,2800,"0,1%","-0,3%","80,6%","3,2",,
,Industries graphiques,4900,"0,2%","-10,2%","40,0%","-8,7",,
,Publicité,1000,"0,0%","-20,5%","89,4%","-5,6",,
"Construction, bâtiment et travaux publics",,265300,"9,6%","15,9%","49,4%","0,2",,
dont,Conception et études,46300,"1,7%","32,2%","91,7%","2,0",,
,Conduite et encadrement de chantier - travaux,38700,"1,4%","19,6%","84,8%","-1,9",,
,Engins de chantier,15400,"0,6%","13,9%","19,3%","-1,9",,
,Extraction,1200,"0,0%","36,4%","37,7%","-3,4",,
,Montage de structures,10500,"0,4%","33,8%","28,2%","1,0",,
,Second oeuvre,97700,"3,5%","12,8%","37,3%","-2,3",,
